,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change
201845,6,1,9,88101,3,37.743065,-122.16993500000001,WGS84,PM2.5 - Local Conditions,2017-10-13,14:00,2017-10-13,22:00,85.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
201846,6,1,9,88101,3,37.743065,-122.16993500000001,WGS84,PM2.5 - Local Conditions,2017-10-13,15:00,2017-10-13,23:00,58.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
201847,6,1,9,88101,3,37.743065,-122.16993500000001,WGS84,PM2.5 - Local Conditions,2017-10-13,16:00,2017-10-14,00:00,69.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
201848,6,1,9,88101,3,37.743065,-122.16993500000001,WGS84,PM2.5 - Local Conditions,2017-10-13,17:00,2017-10-14,01:00,84.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
201849,6,1,9,88101,3,37.743065,-122.16993500000001,WGS84,PM2.5 - Local Conditions,2017-10-13,18:00,2017-10-14,02:00,70.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
201850,6,1,9,88101,3,37.743065,-122.16993500000001,WGS84,PM2.5 - Local Conditions,2017-10-13,19:00,2017-10-14,03:00,84.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
201851,6,1,9,88101,3,37.743065,-122.16993500000001,WGS84,PM2.5 - Local Conditions,2017-10-13,20:00,2017-10-14,04:00,80.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
201852,6,1,9,88101,3,37.743065,-122.16993500000001,WGS84,PM2.5 - Local Conditions,2017-10-13,21:00,2017-10-14,05:00,85.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
201853,6,1,9,88101,3,37.743065,-122.16993500000001,WGS84,PM2.5 - Local Conditions,2017-10-13,22:00,2017-10-14,06:00,92.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
201854,6,1,9,88101,3,37.743065,-122.16993500000001,WGS84,PM2.5 - Local Conditions,2017-10-13,23:00,2017-10-14,07:00,95.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
